date,6,2,5,7,8,1,4,3
10/23/2020,0,0,0,0,1,0,0,0
10/24/2020,0,0,0,0,1,0,0,0
10/25/2020,0,0,0,0,1,0,0,0
10/26/2020,1,0,0,0,1,0,0,0
10/27/2020,1,0,0,0,1,0,0,0
10/28/2020,2,0,0,0,1,0,0,0
10/29/2020,5,0,0,0,1,0,0,0
10/30/2020,5,0,0,0,1,0,0,0
10/31/2020,7,0,0,0,1,0,0,2
11/1/2020,7,0,0,0,1,0,0,2
11/2/2020,8,0,0,0,1,0,0,2
11/3/2020,8,0,0,0,1,0,0,2
11/4/2020,8,0,0,0,1,0,0,2
11/5/2020,8,0,0,0,1,0,0,2
11/6/2020,8,0,0,0,1,0,0,2
11/7/2020,9,0,0,0,1,0,0,2
11/8/2020,9,0,0,0,1,0,0,2
11/9/2020,9,0,0,0,1,0,0,2
11/10/2020,9,0,0,0,1,0,0,2
11/11/2020,9,0,0,0,1,0,0,2
11/12/2020,9,0,0,0,1,0,0,2
